Exterior Description,Directions,Fireplace Y/N,Irrigation Water Rights Y/N,Inclusions,Basement,Bedrooms Possible,Window Features,Land Lease Y/N,Garage Y/N,Gulf-Front,Baths Full Lower,Interior Amenities,Living Area,Building Area Units,Street Name,Air Conditioning Y/N,Close Price,Parcel Number,FuelDescription,Stories Count,Bathrooms,Association Fee Includes,Bedrooms Upper,Property Style,PropertySubType,Assoc Fee Paid Per,Heating Y/N,Standard Status,Baths Half Lower,Accessory Dwelling Unit,Hot Water,MobileHomeRemainsYN,Public Remarks,description,Waterfront Features,Water Heater Location,Waterfront Footage,Exterior Features,ADU,Adult Family Homes,Baths Three Quarter Main,Open Parking Y/N,Total Parking,Property Subtype,Site Features,Street Suffix,1/2 Baths,Interior Features,Accessibility,Sewer,Zoning Description,Full Baths,Green Energy Generation,Heating,address,Fireplaces Lower,Skirt,Road Surface Type,Security Features,Green Verification NWESH Rating,Covered Spaces,house_size,Park Name,Middle/Junior High School,Tax Annual Amount,Virtual Tour,Building Name,WaterfrontY/N,price,Building Area Total,Subdivision Name,Year Built,NWM_ShowMapLink,MLS Area,Accessory Dwelling Unit Y/N,Bedrooms Lower,Baths Three Quarter Garage,Home Owner Assoc,HOA / Comm Assn,Community Features,Baths Full Garage,Lot Size Units,ModificationTimestamp,Pool Type,Green Building Verification Type,Baths Full Main,Lot Size Square Feet,Unit Number,Fireplaces Upper,baths,Power Production Type,Baths Three Quarter Upper,Living Area Units,Possession,Levels,Property SubType,Elementary School,Attached Garage,Building Design,Disclosures,Open Parking Spaces,Make,Roof,VA loan,Appliances,Home Owner Assoc:,Pool Features,Body Type,Legal Description,View,Other Rooms,Baths Half Main,Water Heater Type,Total Baths,Land Lease Amount Frequency,Vegetation,Status,Spa,lot_size,High School,Lot Number,Storage Locattion,Total Bathrooms,Builder Name,Baths Half Upper,Cooling,Water Source,New Construction,Senior Community Y/N,Topography,3/4 Baths,Half Baths,Total Actual Rent,Carport Spaces,Water Company,Structure Type,SeniorCommunityYn,Land Lease Amount,Terms,Fireplace Features,Pets Allowed,Flooring,High School District,Green Verification HERS Metric,Carport Y/N,Green Verification Built Green Rating,Parking Features,Entry Location,Special Listing Conditions,Exterior Amenities,AFH,Facing Direction,HOA,Tax Year,Property Type,Total Bedrooms,Energy Efficient,City,Home Owner Association Y/N,Lot Dimensions,url,Lot Size Acres,Total Fireplaces,Fireplaces Main,HOA Fee,Main Level Bedrooms,Buyer Financing,status,AttributionContact,Parking Uncovered Total,Property Condition,Baths Half Garage,Model,Architectural Style,Garage Spaces,ListingTerms,Baths Full Upper,Foundation Details,Waterfront Y/N,Baths Three Quarter Lower,beds,Listing Terms,View Y/N,County,Lot Features,Number of Homes in Park,Assoc/CIC,Latitude,Longitude
,,No,No,,,2,,No,Yes,,0,,,0 sqft,,No,"$280,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Seller is an Estate. Buyer purchased As is. Tenant occupied. Home is in need of full remodel. Has only had recent electrical work, exterior paint and roof cleaning and siding repairs. Lot is long and","Seller is an Estate. Buyer purchased As is. Tenant occupied. Home is in need of full remodel. Has only had recent electrical work, exterior paint and roof cleaning and siding repairs. Lot is long and narrow with limited access to rear lot. Drive way is dirt/gravel. Street is paved but no sidewalks or alleys.",,shed,,Wood,,,0,No,1,,Fenced-Partially,,,Water Heater,,Sewer Connected,City,1,,Baseboard,"722 S Mullen
Tacoma, WA 98405",,,,FullyFenced,,1,800 SQFT,,Buyer To Verify,"$4,676 ",,,,"$280,000 ",800 sqft,Tacoma,1950,Y,26 - Central Tacoma,,0,0,No,,,0,Square Feet,2024-09-17T21:58:10.926Z,,,1,"21,000 sqft",,,1 Baths,Electric,0,0 sqft,,One,Residential,Buyer To Verify,Yes,,,,,Composition,,,,,,,,,0,electric,1,,Wooded,Sold,,0.48 Acres,Buyer To Verify,,,,,0,,Public,No,No,,0,0,,,,House,,,,See Remarks,,Vinyl,Tacoma,,No,,Attached Garage,,,,,,0,2024,Residential,2,,Tacoma,,62 X 348,https://www.premierepropertygroup.com/property/21-2291988-722-S-Mullen-Tacoma-WA-98405/,0.4821,0,,,2,,"SOLD: SEP 13, 2024",,,,0,,,1,,0,,No,0,2 Beds,,No,Pierce,Paved,,,47.2536622,-122.5010199
,"WA-512 (East or West) to Steele St exit. Go South on Steele St, continue onto Spanaway Loop.  Left on Tule Lake Rd, Right on 10th Ave S to Tallentire community on the Left.",Yes,No,"Dishwashers, Dryers, GarbageDisposal, Microwaves, Refrigerators, StovesRanges, Washers",,3,,No,Yes,,0,,,0 sqft,9th,No,"$530,000 ",,,,2.5,,3,12 - 2 Story,,Annually,Yes,Closed,0,,,,"Don't miss this beautiful home in the Tallentire Community, in perfect move-in condition and ready for it's new owners! Modern open-concept floorplan, creating a warm and inviting space with lots of na","Don't miss this beautiful home in the Tallentire Community, in perfect move-in condition and ready for it's new owners! Modern open-concept floorplan, creating a warm and inviting space with lots of natural light. The main living space flows out to the patio and private backyard, perfect for entertainment and play. The bedrooms are all upstairs; spacious with loads of storage, including the primary suite, with 2 walk in closets. Brand new irrigation system, CAT6 for faster internet speeds, EV charging - all this, perfectly positioned for access to the local park, and just minutes away from JBLM, PLU and 512 and I5. Come and check out the neighborhood, and fall in love with your new home!",,Garage,,"Cement Planked, Stone, Wood, Wood Products",,,0,No,2,,"Cable TV, Electric Car Charging, Fenced-Fully, Gas Available, High Speed Internet, Irrigation, Patio, Sprinkler System",Avenue Ct,,"Laminate, Wall to Wall Carpet, Bath Off Primary, Double Pane/Storm Window, Dining Room, Walk-In Closet(s), Fireplace, Water Heater",,Sewer Connected,SF,2,,"90%+ High Efficiency, Forced Air, Tankless Water Heater","13322 9th Avenue Ct S
Tacoma, WA 98444",,,,PartiallyFenced,,2,"1,944 SQFT",,Buyer To Verify,"$5,577 ",Click here,,,"$530,000 ","1,944 sqft",Tacoma,2018,Y,69 - Parkland,,0,0,,Yes,CCRs,0,Square Feet,2024-05-17T18:51:09.342Z,,,0,"9,951 sqft",,,2 / 1 Full / Half Baths,"Electric, Natural Gas",0,0 sqft,Closing,Two,Residential,Buyer To Verify,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,"Mountain(s), Territorial",,1,Gas Tankless,3,,,Sold,,0.23 Acres,Buyer To Verify,,,,,0,,Public,No,No,Level,0,1,,,Parkland Light & Water,House,,,,Gas,,"Laminate, Vinyl, Carpet",Franklin Pierce,,No,,"Driveway, Attached Garage",Main,,,,,450,2023,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2206245-13322-9th-Avenue-Ct-S-Tacoma-WA-98444/,0.2284,1,1,,0,,"SOLD: MAY 17, 2024",,,Very Good,0,,,2,,2,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, VA Loan",Yes,Pierce,"Curbs, Dead End Street, Paved, Sidewalk",,,47.1357107,-122.4475553
,"South on Canyon Rd, West on 176th, South on 38th Ave E, W on 182nd St E.  IF GPS not working, use 3501 182nd St E. Tacoma 98445  Lot 41 Skyline plan",Yes,Yes,"Dishwasher(s), Dryer(s), Garbage Disposal, Leased Equipment, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,4,,No,Yes,,0,"Fireplace, High Tech Cabling, Triple Pane Windows, Walk-In Closet(s), Walk-In Pantry, Water Heater",,0 sqft,,Yes,"$585,950 ",,,,2.25,,4,12 - 2 Story,,Monthly,Yes,Closed,0,,,,"The Preserve, nestled in the Fredrickson area of Tacoma by Rush Residential offers stunning affordable homes with modern amenities and a convenient location. Homes include large kitchens: Quartz count","The Preserve, nestled in the Fredrickson area of Tacoma by Rush Residential offers stunning affordable homes with modern amenities and a convenient location. Homes include large kitchens: Quartz counters, full height subway tile backsplash, SS appliances, custom cabinet package w/ hardware, soft close doors/drawers. Main level engineered plank flooring; entry, kitchen/nook, powder & great room. Site painted millwork, luxury en-suite w/ large shower, tile counters in bathrooms. Blinds, washer/dryer, refrigerator, A/C included, covered rear patio, landscaped/fenced yards. Irrigated front yards & maintained by HOA. Easy JBLM and freeways access. Skyline plan lot 41. 4 bed, 2.5 bath. 2 car garage. $20,000 incentive with Trusted Lender.",,Garage,,,,Residential,0,,2,Single Family Residence,"Cable TV, Deck, Electric Car Charging, Fenced-Fully, Gas Available, High Speed Internet, Irrigation",,,,,Sewer Connected,,1,,"90%+ High Efficiency, Forced Air, Heat Pump","18201 35th Avenue Ct E
Tacoma, WA 98446",,,,Fully Fenced,,2,"1,916 SQFT",,Buyer To Verify,$0 ,,The Preserve,,"$585,950 ","1,916 sqft",Frederickson,2025,Y,99 - Spanaway,,0,0,,,"CCRs, Playground",0,Square Feet,2025-08-08T11:03:36.015Z,,,0,6007,,,2 / 1 Full / Half Baths,Electric,1,0 sqft,Closing,Two,,Buyer To Verify,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,1,Electric,3,,,Sold,,0.14 Acres,Buyer To Verify,41,,,"Rush Residential, Inc.",0,Heat Pump,Public,Yes,No,Level,1,1,,,Tacoma,House,,,,Electric,,"Laminate, Vinyl, Carpet",Bethel,,No,,Attached Garage,Main,,"Cement Planked, Wood Products",,West,Yes,2023,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2343725-18201-35th-Avenue-Ct-E-Tacoma-WA-98446/,0.1379,1,1,$85 ,0,,"SOLD: JUL 08, 2025",,,,0,,Craftsman,2,,1,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Curbs, Dead End Street, Paved, Sidewalk",,,47.0912093,-122.3818677
,"Head west on SW 356th, which becomes 29th St. N.E.  Right onto 58th Ave NE.  House is on the right.",Yes,No,"Dishwasher(s), Garbage Disposal, Refrigerator(s), Stove(s)/Range(s)",Finished,,,No,Yes,,0,"Bath Off Primary, Fireplace, Skylight(s), Water Heater","1,436 sqft",0 sqft,,No,"$530,000 ",,,,2.5,,0,11 - 1 1/2 Story,,,Yes,Closed,1,,,,"Beautifully updated basement rambler with alley access to rear load 2 car garage. Total refresh in 2022, including the installation of a NEW kitchen with white shaker cabinetry, gorgeous quartz counter","Beautifully updated basement rambler with alley access to rear load 2 car garage. Total refresh in 2022, including the installation of a NEW kitchen with white shaker cabinetry, gorgeous quartz countertops & SS appliances, new flooring throughout...LVP on entire upper level and carpet on lower level. Both upper level bathrooms were completely done as well. Fresh interior and exterior paint, new fence to enclose the HUGE back yard. Living room offers tile faced fireplace and is open to the kitchen/dining area. Convenient main floor laundry. New garage door & opener, gas furnace and hot water tank in 2022 as well! Nothing to do here, but move in and enjoy! Great location just minutes to conveniences & blocks to school. No HOA",,Garage,,,,,0,,2,Single Family Residence,"Deck, Fenced-Fully",,,,,Sewer Connected,,2,,Forced Air,"3111 58th Avenue NE
Tacoma, WA 98422",,,,Fully Fenced,,2,"1,436 SQFT",,,"$4,936 ",Click here,NE Tacoma,,"$530,000 ","1,436 sqft",Ne Tacoma,1989,Y,94 - Browns Point,,0,0,,,,0,Square Feet,2025-10-20T11:06:20.935Z,,,2,"5,750 sqft",,,2 / 1 Full / Half Baths,Natural Gas,0,,Closing,One and One Half,,,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,Gas,3,,,Sold,,0.13 Acres,,42,,,,0,,Public,No,No,"Level, Sloped, Terraces",0,1,,,TPU,House,,,,Wood Burning,,"Vinyl Plank, Carpet",Tacoma,,No,,"Attached Garage, Off Street",Main,,Wood,,,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2391160-3111-58th-Avenue-Ne-Tacoma-WA-98422/,0.132,1,1,$0 ,3,,"SOLD: SEP 19, 2025",,,Very Good,0,,,2,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Alley, Paved, Sidewalk",,,47.2850873,-122.3697762
,"GPS friendly.  Follow Pearl to 42nd, left on 42nd then left on Defiance Street, left onto 41sy and home will be on your left.",No,No,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,3,,No,Yes,,0,,,0 sqft,,No,"$475,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Charming 3-bedroom, 1-bath home in a prime North Tacoma location, just blocks from Point Ruston and Point Defiance! This well-maintained gem sits on a large lot with a fantastic fully fenced backyardpe","Charming 3-bedroom, 1-bath home in a prime North Tacoma location, just blocks from Point Ruston and Point Defiance! This well-maintained gem sits on a large lot with a fantastic fully fenced backyard—perfect for outdoor gatherings, gardening, or play. Inside, the efficient floor plan boasts a circular footprint that maximizes every inch of space, offering both flow and functionality. The home also features a spacious laundry/mud room, ideal for extra storage or creating a multifunctional space. With a newer electric panel, newer windows, updated baseboards, gorgeous bamboo flooring and an attached garage, this home is move-in ready. Enjoy nearby parks, shopping, and dining in this quiet neighborhood.",,,,Wood Products,,,0,No,1,,"Fenced-Fully, High Speed Internet",,,"Bamboo/Cork, Double Pane/Storm Window, Wall to Wall Carpet",,Sewer Connected,,1,,Baseboard,"6010 N 41st Street
Tacoma, WA 98407",,,,PartiallyFenced,,1,951 SQFT,,Buyer To Verify,"$2,260 ",,,,"$475,000 ",951 sqft,North Tacoma,1982,Y,25 - North Tacoma,,0,0,,,,0,Square Feet,2024-10-23T16:52:17.174Z,,,1,"6,444 sqft",,,1 Baths,Electric,0,0 sqft,Closing,One,Residential,Buyer To Verify,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,Territorial,,0,,1,,Garden Space,Sold,,0.15 Acres,Buyer To Verify,,,,,0,,Public,No,No,Partial Slope,0,0,,,TPU,House,,,"Cash Out, Conventional, FHA, VA Loan",,,"Bamboo/Cork, Vinyl, Carpet",Tacoma,,No,,Attached Garage,Main,,,,,No,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2288555-6010-N-41st-Street-Tacoma-WA-98407/,0.1479,0,,$0 ,3,,"SOLD: OCT 21, 2024",,,Good,0,,,1,,0,Poured Concrete,No,0,3 Beds,,,Pierce,"Curbs, Paved, Sidewalk",,,47.2862395,-122.5171413
,"Off Marine View Dr, follow East Side Drive down to second home on left.  Road is private drive.  Please go slow.",Yes,No,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",Finished,3,,No,Yes,,1,"Second Kitchen, Bath Off Primary, Built-In Vacuum, Ceiling Fan(s), Double Pane/Storm Window, Dining Room, Fireplace, Fireplace (Primary Bedroom), Security System, Vaulted Ceiling(s), Walk-In Closet(s), Wet Bar,","3,580 sqft",0 sqft,,Yes,"$1,500,000 ",,,,2.5,,0,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Unobstructed Sound and mountain views highlight this stunning 3, 580 SF custom-built waterfront home with 100 of frontage. Main-level living includes a spacious primary suite with en suite bath, walk i","Unobstructed Sound and mountain views highlight this stunning 3,580 SF custom-built waterfront home with 100’ of frontage. Main-level living includes a spacious primary suite with en suite bath, walk in shower, expansive closet, fireplace & new carpet. Open living area with amazing view, wood-wrapped windows, detailed finishes & refinished hardwood floors through out main level. Kitchen w/island, second sink, and sub zero fridge and upgraded gas range. Upstairs office/loft. Fully finished basement offers second kitchen,2 addt'l bedrooms, and ample entertaining space. Enjoy the expansive wraparound deck, covered patio, hot tub area, and large flat lawn and 3 car garage —all in a private, serene setting. Private location, close to amenities.","High Bank, Saltwater, Sound",Storage Area,100,,,,0,,3,Single Family Residence,"Cable TV, Deck, Gas Available, High Speed Internet, Patio, Sprinkler System",,,,,Septic Tank,,2,,"90%+ High Efficiency, Forced Air, Heat Pump, Stove/Free Standing","8204 East Side Drive NE
Tacoma, WA 98422",1,,,Security System,,3,"3,580 SQFT",,,"$16,051 ",Click here,,,"$1,500,000 ","3,580 sqft",Browns Point,1996,Y,94 - Browns Point,,2,0,,,,0,Square Feet,,,,1,"35,000 sqft",,,2 / 1 Full / Half Baths,"Electric, Natural Gas",0,,Closing,One and One Half,,,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,"Bay, Mountain(s), Sound",,1,,3,,Wooded,Sold,,0.80 Acres,,,,,,0,Heat Pump,Public,No,No,"Sloped, Steep Slope",0,1,,,Tacoma PUD,House,,,,Gas,,"Ceramic Tile, Hardwood, Laminate, Carpet",Tacoma,,No,,"Driveway, Attached Garage, Off Street",Main,,"Brick, Cement Planked",,West,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2441912-8204-East-Side-Drive-Ne-Tacoma-WA-98422/,0.8035,3,2,$0 ,1,,"SOLD: NOV 26, 2025",,,Very Good,0,,Northwest Contemporary,3,,0,Slab,Yes,0,3 Beds,"Cash Out, Conventional, VA Loan",,Pierce,"Dead End Street, Paved",,,47.3149278,-122.4307004
,"From I-5, take the Portland Ave exit heading east. Continue on Portland Ave, then turn Right on 54th St. Info Center will be ahead on the right at East L St.",No,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,5,,No,Yes,,0,,,0 sqft,,Yes,"$569,900 ",,,,3,,4,12 - 2 Story,,Monthly,Yes,Closed,0,,,,"Find abundant space at an exceptional value in this gorgeous home! The chef-ready kitchen includes a full suite of stainless-steel appliances, quartz countertops, modern wood cabinetry & walk-in pantry","Find abundant space at an exceptional value in this gorgeous home! The chef-ready kitchen includes a full suite of stainless-steel appliances, quartz countertops, modern wood cabinetry & walk-in pantry. A bedroom and full bath are also found on the first floor, allowing for versatile use of the space. Upstairs, the owner’s retreat includes a luxurious bathroom showcasing a double-sink vanity, step-in shower & a large walk-in closet. Additional features include an upstairs laundry room, spacious upstairs bathroom with a dual sink vanity. If you are working with a licensed broker, please complete the Prospect Registration Agreement (*Site Registration Policy #4898) & submit prior to your first visit to the Heritage Gardens Information Center.",,,,"Cement Planked, Stone",,,0,No,1,,"Cable TV, Electric Car Charging, Fenced-Fully, High Speed Internet, Patio",,,"Bath Off Primary, Ceiling Fan(s), Dining Room, Laminate, Laminate Tile, Walk-In Closet(s), Walk-In Pantry",,Sewer Connected,Residential,3,,"90%+ High Efficiency, Forced Air, Heat Pump, HRV/ERV System","5318 E M Street
Tacoma, WA 98404",,,,PartiallyFenced,NWESH Certified,1,"1,810 SQFT",,First Creek Mid,$0 ,,Heritage Gardens,,"$569,900 ","1,810 sqft",Swan Creek,2024,Y,61 - Southeast Tacoma,,0,0,Yes,,"Athletic Court, CCRs, Park, Playground, Trail(s)",0,Square Feet,2024-09-12T19:43:12.141Z,,"Built Green, Northwest ENERGY STAR",1,2520,,,3 Baths,"Electric, Natural Gas",0,0 sqft,Closing,Two,Residential,Sheridan,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,,3,,,Sold,,0.06 Acres,Lincoln High,29,,,LGI Homes,0,"90%+ High Efficiency, Central A/C, Forced Air, Heat Pump",Public,Yes,No,,0,0,,,Tacoma Public Utilities,House,,,"Cash Out, Conventional, FHA, VA Loan",,,Laminate,Tacoma,55,No,4-Star,"Driveway, Attached Garage",,,,,,58,2024,Residential,5,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2226257-5318-E-M-Street-Tacoma-WA-98404/,0.0579,0,,,1,,"SOLD: SEP 11, 2024",,,Under Construction,0,,Craftsman,1,,2,Poured Concrete,No,0,5 Beds,,No,Pierce,"Paved, Sidewalk",,,47.2083828,-122.4122334
,"Heading North on Pear St, turn left on N 46th St, turn right on N Defiance St, home is on left side.",No,No,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)",,5,,No,Yes,,0,"Bath Off Primary, Double Pane/Storm Window, Dining Room, Loft, Walk-In Closet(s), Walk-In Pantry, Water Heater",,0 sqft,,Yes,"$925,000 ",,,,2.25,,3,12 - 2 Story,,,Yes,Closed,0,,,,"Welcome to this North End sanctuary located walking distance to Point Defiance Park and Ruston Way. Enjoy peace of mind with all new roof, hybrid water heater, ductless heating and a/c system, windows, s","Welcome to this North End sanctuary located walking distance to Point Defiance Park and Ruston Way. Enjoy peace of mind with all new roof, hybrid water heater, ductless heating and a/c system, windows, siding, paint, gutters, and more. Fully permitted addition turned this home into a 5 bedroom 3 bathroom charmer. Escape to your main level primary suite or enjoy a peek-a-boo view from the upstairs bonus space. Sitting on a fully fenced .21 acre, featuring mature fruit trees, courtyard space, shed, and large shop garage. Gated driveway located off alley and second driveway in front. Sellers offering a 2-1 buy down with full price offer and 1 year home warranty through Home Warranty of America.",,Utility Room,,,,,1,,2,Single Family Residence,"Fenced-Fully, Outbuildings, Shop",,,,,Sewer Connected,,1,,"Ductless, Wall Unit(s)","4658 N Defiance Street
Tacoma, WA 98407",,,,Fully Fenced,,2,"2,493 SQFT",,Buyer To Verify,"$5,398 ",,,,"$925,000 ","2,493 sqft",North Tacoma,1921,Y,13 - North Tacoma,,0,0,,,,0,Square Feet,2025-08-24T11:04:25.834Z,,,0,"9,240 sqft",,,2 / 1 Full / Half Baths,Electric,0,,Closing,Two,,Buyer To Verify,No,,,,,Composition,,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)",,,,,"Partial, Sound, Territorial",,1,Electric Hybrid,3,,"Fruit Trees, Garden Space",Sold,,0.21 Acres,Buyer To Verify,,,,,0,Ductless,Public,No,No,Level,1,1,,,TPU,House,,,,,,"Ceramic Tile, Vinyl Plank",Tacoma,,No,,"Driveway, Detached Garage, Off Street",Main,,Wood Products,,,No,2025,Residential,5,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2392628-4658-N-Defiance-Street-Tacoma-WA-98407/,0.2121,0,,$0 ,2,,"SOLD: JUL 24, 2025",,,Updated/Remodeled,0,,Craftsman,2,,1,"Block, Concrete Ribbon",No,0,5 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Alley, Curbs, Paved, Sidewalk",,,47.2928236,-122.5186866
,I-5 to Hwy 16. Take Exit 3 (Ruston 6th Ave). Take Left on 6th Ave. Go Right (North) on N Pearl St. Take left on N 42nd. Home is on the Left.,Yes,No,"Dishwashers, Microwaves, StovesRanges",,4,,No,Yes,,0,,,0 sqft,42nd,No,"$634,000 ",,,,1.75,,3,13 - Tri-Level,,,Yes,Closed,0,,,,"Live the Dream in Tacoma’s North End! Centrally located near Point Defiance Park, The Proctor District and the two-mile long Scenic Water Front, including Beautiful Point Ruston with all the dining, sho","Live the Dream in Tacoma’s North End! Centrally located near Point Defiance Park, The Proctor District and the two-mile long Scenic Water Front, including Beautiful Point Ruston with all the dining, shopping and adventure you can desire. Pamper yourself with Brand NEW flooring, paint, lighting, appliances & more; everything feels fresh & up to date. The easy-flow floorplan gives living space versatility. Kitchen, living room & dining room are on the main floor for comfortable conversation & gatherings. Upstairs are 3 bdrms + full bath. Downstairs you’ll find a bonus room, separate bdrm (office? Mother-in-law?), & a ¾ bath. Tons of storage. Plenty of flexibility. You’ll love living here!",,Off Bonus Room,,Wood,,,0,No,2,,"Fenced-Partially, Gas Available, Patio",Street,,"Wall to Wall Carpet, Bath Off Primary, Dining Room, Vaulted Ceiling(s), Walk-In Closet(s), Fireplace, Water Heater",,Sewer Connected,,1,,Forced Air,"6108 N 42nd Street
Tacoma, WA 98407",,,,FullyFenced,,2,"1,530 SQFT",,,"$5,425 ",Click here,,,"$634,000 ","1,530 sqft",North Tacoma,1979,Y,25 - North Tacoma,,1,0,,No,Playground,0,Square Feet,2024-04-29T21:06:12.668Z,,,0,"7,550 sqft",,,2 Baths,"Electric, Natural Gas",0,0 sqft,Closing,Three Or More,Residential,Point Defiance,Yes,,,,,Composition,,"Dishwasher(s), Microwave(s), Stove(s)/Range(s)",,,,,"Partial, Sound, Territorial",,0,Gas,2,,,Sold,,0.17 Acres,,,,,,0,,Public,No,No,,1,0,,,Tacoma Public Utilities,House,,,,Wood Burning,,"Vinyl Plank, Carpet",Tacoma,,No,,"Driveway, Attached Garage, Off Street",Main,,,,North,0,2024,Residential,4,,Tacoma,,68 x 100,https://www.premierepropertygroup.com/property/21-2211576-6108-N-42nd-Street-Tacoma-WA-98407/,0.1733,1,1,,0,,"SOLD: APR 26, 2024",,,,0,,,2,,1,Poured Concrete,No,1,4 Beds,"Cash Out, Conventional, FHA, VA Loan",Yes,Pierce,"Curbs, Paved, Sidewalk",,,47.2869814,-122.5190193
,"From I-5, take WA-509 N to Marine View Dr. Turn right on Norpoint Way NE, left on Fairwood Blvd NE. Home is on the left.",Yes,No,"Dishwasher(s), Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,No,Yes,,0,"Bath Off Primary, Fireplace, Sprinkler System, Walk-In Closet(s), Water Heater","2,396 sqft",0 sqft,,Yes,"$809,250 ",,,,2.5,"Common Area Maintenance, Road Maintenance",4,12 - 2 Story,,Annually,Yes,Closed,0,,,,"Stunning NE Tacoma Remodel with Views! Nestled in one of Tacomas most sought-after neighborhoods, this beautifully updated home offers breathtaking city, port, and sunset views. Featuring 4 spacious bed","Stunning NE Tacoma Remodel with Views! Nestled in one of Tacoma’s most sought-after neighborhoods, this beautifully updated home offers breathtaking city, port, and sunset views. Featuring 4 spacious bedrooms, a main floor office, and gorgeous white oak floors throughout the main floor. The kitchen shines with new quartz countertops, appliances, and lighting. Major systems have been updated, including the roof, windows, water heater, and central A/C to ensure peace of mind and comfort. Oversized windows fill the home with natural light, and sprinklers cover the front, side, and backyard. Private yard perfect for relaxing or entertaining. Private community park across the street. Close to schools, shopping, and commuter routes",,Garage,,,,,0,,3,Single Family Residence,"Gas Available, Patio, Sprinkler System",,,,,Sewer Connected,,2,,Forced Air,"3914 fairwood Boulevard NE
Tacoma, WA 98422",,,,,,3,"2,396 SQFT",,Meeker,"$7,519 ",Click here,,,"$809,250 ","2,396 sqft",Northshore,1997,Y,94 - Browns Point,,0,0,,,"CCRs, Park, Playground",0,Square Feet,,,,0,"9,050 sqft",,0,2 / 1 Full / Half Baths,"Electric, Natural Gas",0,,Closing,Two,,Crescent Heights,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,Territorial,,1,Gas,3,,,Sold,,0.21 Acres,Stadium,,,,,0,Forced Air,Public,No,No,,0,1,,,City of Tacoma,House,,,,Gas,,"Ceramic Tile, Engineered Hardwood, Hardwood, Carpet",Tacoma,,No,,Attached Garage,,,Cement Planked,,,Yes,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2445979-3914-Fairwood-Boulevard-Ne-Tacoma-WA-98422/,0.2078,1,1,$440 ,0,,"SOLD: DEC 23, 2025",,,Updated/Remodeled,0,,,,,2,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, Rehab Loan, VA Loan",,Pierce,"Curbs, Secluded, Sidewalk",,,47.2912295,-122.3909619
